timestamp,system_uptime,frame_id,fps,counts,gps_utc,gps_lat,gps_lon,gps_alt,detection_count,extra
2025-09-01T17:32:03.785189,1828.1057535,27,15.320769982745293,"{""person"": 1, ""bed"": 1, ""mouse"": 1}",,,,,3,"{'accumulated_counts': {'person': 28, 'bed': 28, 'suitcase': 1, 'mouse': 5}, 'total_detections': 62}"
2025-09-01T17:32:03.852952,1828.1740181,28,15.320769982745293,"{""person"": 1, ""bed"": 1, ""mouse"": 1}",,,,,3,"{'accumulated_counts': {'person': 29, 'bed': 29, 'suitcase': 1, 'mouse': 6}, 'total_detections': 65}"
2025-09-01T17:32:03.920892,1828.241936,29,15.320769982745293,"{""person"": 1, ""bed"": 1, ""mouse"": 1}",,,,,3,"{'accumulated_counts': {'person': 30, 'bed': 30, 'suitcase': 1, 'mouse': 7}, 'total_detections': 68}"
2025-09-01T17:32:03.990429,1828.3111273,30,15.320769982745293,"{""person"": 1, ""bed"": 1, ""mouse"": 1}",,,,,3,"{'accumulated_counts': {'person': 31, 'bed': 31, 'suitcase': 1, 'mouse': 8}, 'total_detections': 71}"
2025-09-01T17:32:04.061996,1828.3821604,31,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 32, 'bed': 32, 'suitcase': 1, 'mouse': 8}, 'total_detections': 73}"
2025-09-01T17:32:04.129059,1828.449191,32,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 33, 'bed': 33, 'suitcase': 1, 'mouse': 8}, 'total_detections': 75}"
2025-09-01T17:32:04.198792,1828.5194767,33,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 34, 'bed': 34, 'suitcase': 1, 'mouse': 8}, 'total_detections': 77}"
2025-09-01T17:32:04.265831,1828.5860387,34,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 35, 'bed': 35, 'suitcase': 1, 'mouse': 8}, 'total_detections': 79}"
2025-09-01T17:32:04.332878,1828.6531259,35,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 36, 'bed': 36, 'suitcase': 1, 'mouse': 8}, 'total_detections': 81}"
2025-09-01T17:32:04.399925,1828.7209685,36,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 37, 'bed': 37, 'suitcase': 1, 'mouse': 8}, 'total_detections': 83}"
2025-09-01T17:32:04.464954,1828.7853136,37,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 38, 'bed': 38, 'suitcase': 1, 'mouse': 8}, 'total_detections': 85}"
2025-09-01T17:32:04.527043,1828.84774,38,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 39, 'bed': 39, 'suitcase': 1, 'mouse': 8}, 'total_detections': 87}"
2025-09-01T17:32:04.595584,1828.916233,39,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 40, 'bed': 40, 'suitcase': 1, 'mouse': 8}, 'total_detections': 89}"
2025-09-01T17:32:04.662776,1828.9835411,40,15.320769982745293,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 41, 'bed': 41, 'suitcase': 1, 'mouse': 8}, 'total_detections': 91}"
2025-09-01T17:32:04.730888,1829.0517747,41,13.86333671022471,"{""person"": 1, ""bed"": 1, ""mouse"": 1}",,,,,3,"{'accumulated_counts': {'person': 42, 'bed': 42, 'suitcase': 1, 'mouse': 9}, 'total_detections': 94}"
2025-09-01T17:32:04.796421,1829.1175062,42,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 43, 'bed': 43, 'suitcase': 1, 'mouse': 9}, 'total_detections': 96}"
2025-09-01T17:32:04.862084,1829.1823954,43,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 44, 'bed': 44, 'suitcase': 1, 'mouse': 9}, 'total_detections': 98}"
2025-09-01T17:32:04.927130,1829.2478126,44,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 45, 'bed': 45, 'suitcase': 1, 'mouse': 9}, 'total_detections': 100}"
2025-09-01T17:32:04.997229,1829.3180364,45,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 46, 'bed': 46, 'suitcase': 1, 'mouse': 9}, 'total_detections': 102}"
2025-09-01T17:32:05.064242,1829.3853546,46,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 47, 'bed': 47, 'suitcase': 1, 'mouse': 9}, 'total_detections': 104}"
2025-09-01T17:32:05.137788,1829.4588365,47,13.86333671022471,"{""person"": 1, ""bed"": 1, ""mouse"": 1, ""suitcase"": 1}",,,,,4,"{'accumulated_counts': {'person': 48, 'bed': 48, 'suitcase': 2, 'mouse': 10}, 'total_detections': 108}"
2025-09-01T17:32:05.206489,1829.5267273,48,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 49, 'bed': 49, 'suitcase': 2, 'mouse': 10}, 'total_detections': 110}"
2025-09-01T17:32:05.273740,1829.5947378,49,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 50, 'bed': 50, 'suitcase': 2, 'mouse': 10}, 'total_detections': 112}"
2025-09-01T17:32:05.341231,1829.6614719,50,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 51, 'bed': 51, 'suitcase': 2, 'mouse': 10}, 'total_detections': 114}"
2025-09-01T17:32:05.406802,1829.7275568,51,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 52, 'bed': 52, 'suitcase': 2, 'mouse': 10}, 'total_detections': 116}"
2025-09-01T17:32:05.472813,1829.7937599,52,13.86333671022471,"{""person"": 1, ""bed"": 1}",,,,,2,"{'accumulated_counts': {'person': 53, 'bed': 53, 'suitcase': 2, 'mouse': 10}, 'total_detections': 118}"
